Datazone,Health Board,Council Area,Total population,People in households,People in communal establishments,Quintile,Decile,DEPCAT,Most deprived 15%,Least deprived 15%,Total population weight,% Overcrowding,% Male Unemployment,% No Car,% Low Social Class,Z-score overcrowding,Z-score male unemployment,Z-score no car,Z-score low social class,Carstairs score,Lower 95% uncertainty bound (random weights),Upper 95% uncertainty bound (random weights),Lower 95% confidence interval,Upper 95% confidence interval 
S01000409,Grampian,Aberdeenshire,579,579,0,5,9,2,0,1,0.00010934,1.554404145,1.470588235,4.14507772,10.35087719,-0.625285364,-1.199934452,-1.096819302,-0.834512397,-3.756551515,-4.349139973,-3.156600175,-4.141581159,-3.148648936
S01000410,Grampian,Aberdeenshire,748,743,5,5,9,2,0,0,0.000141255,3.095558546,1.538461538,1.34589502,9.581646424,-0.05895836,-1.188591185,-1.262289386,-0.909902435,-3.419741366,-4.520260619,-2.08078126,-3.874325887,-2.800909772
S01000411,Grampian,Aberdeenshire,702,702,0,5,10,1,0,1,0.000132568,0,2.040816327,1.709401709,7.225433526,-1.196481242,-1.104635576,-1.240801156,-1.140827911,-4.682745885,-4.812234901,-4.556156962,-4.911422343,-4.197125673
S01000412,Grampian,Aberdeenshire,798,798,0,5,9,2,0,1,0.000150697,0.626566416,3.272727273,3.383458647,11.7721519,-0.96623729,-0.898753526,-1.141841434,-0.695217455,-3.702049704,-4.097633232,-3.309569278,-4.060204852,-3.16022814
S01000413,Grampian,Aberdeenshire,871,865,6,5,9,2,0,1,0.000164482,1.271676301,3.571428571,3.930635838,8.013937282,-0.72917918,-0.84883333,-1.109495758,-1.063548984,-3.751057252,-4.151138069,-3.313484539,-4.125382855,-3.149241607
S01000414,Grampian,Aberdeenshire,694,694,0,5,10,1,0,1,0.000131057,0.576368876,2.183406114,3.458213256,9.288824383,-0.984683347,-1.080805381,-1.137422411,-0.93860106,-4.141512199,-4.353615265,-3.947967601,-4.447883921,-3.601203726
S01000415,Grampian,Aberdeenshire,927,927,0,4,8,3,0,0,0.000175057,1.510248112,4.513888889,8.953613808,11.29385965,-0.641511352,-0.691325465,-0.812568878,-0.742093468,-2.887499164,-3.04938705,-2.717916651,-3.387541226,-2.293465218
S01000416,Grampian,Aberdeenshire,910,910,0,5,9,2,0,0,0.000171847,2.527472527,2.888086643,4.835164835,9.78865406,-0.267712559,-0.963036258,-1.05602569,-0.889614228,-3.176388735,-3.854920073,-2.311137866,-3.62466424,-2.543489895
S01000417,Grampian,Aberdeenshire,1008,1006,2,4,8,3,0,0,0.000190354,0.994035785,3.125,8.051689861,13.92785571,-0.83120356,-0.923442318,-0.865884952,-0.483943283,-3.104474114,-3.493418916,-2.651754323,-3.468355503,-2.583314935
S01000418,Grampian,Aberdeenshire,718,718,0,5,9,2,0,1,0.000135589,2.08913649,0.869565217,1.671309192,12.16407355,-0.428787617,-1.300379903,-1.243052946,-0.65680637,-3.629026837,-4.626347652,-2.6533395,-3.995848629,-3.033958076
S01000419,Grampian,Aberdeenshire,1523,1517,6,5,10,1,0,1,0.000287608,1.38431114,2.127659574,1.647989453,6.755852843,-0.687789329,-1.090121973,-1.244431462,-1.186850129,-4.209192894,-4.679270248,-3.594338468,-4.422992895,-3.820694481
S01000420,Grampian,Aberdeenshire,1339,1311,28,4,7,3,0,0,0.000252861,2.745995423,3.807106599,7.780320366,13.83399209,-0.187412093,-0.809445843,-0.881926611,-0.49314258,-2.371927127,-3.091557609,-1.625402229,-2.795563515,-1.8336243
S01000421,Grampian,Aberdeenshire,786,786,0,5,10,1,0,1,0.000148431,1.526717557,1.176470588,3.053435115,7.445442875,-0.635459336,-1.249088609,-1.16135035,-1.119265444,-4.165163739,-4.688342058,-3.512050287,-4.497472169,-3.672628779
S01000422,Grampian,Aberdeenshire,947,906,41,5,9,2,0,0,0.000178834,0.55187638,4.453441296,7.505518764,11.23470523,-0.993683588,-0.701427717,-0.898171154,-0.747891018,-3.341173477,-3.651030097,-3.04617544,-3.727609714,-2.800903807
S01000423,Grampian,Aberdeenshire,1026,1026,0,5,10,1,0,1,0.000193753,1.169590643,1.19760479,1.461988304,6.791338583,-0.766692531,-1.245556574,-1.255426681,-1.183372276,-4.451048062,-4.889161332,-3.877427129,-4.686139365,-3.982898486
S01000424,Grampian,Aberdeenshire,743,743,0,5,9,2,0,1,0.00014031,2.01884253,2.040816327,4.037685061,8.196721311,-0.454618493,-1.104635576,-1.103167681,-1.045634861,-3.70805661,-4.296646987,-2.92204833,-4.11322969,-3.112018377
S01000425,Grampian,Aberdeenshire,842,842,0,4,8,3,0,0,0.000159006,1.425178147,4.365079365,7.600950119,13.76811594,-0.672771957,-0.716195128,-0.892529852,-0.499598907,-2.781095844,-3.121384262,-2.419315868,-3.275631261,-2.210292501
S01000426,Grampian,Aberdeenshire,826,826,0,5,10,1,0,1,0.000155984,1.573849879,0.724637681,2.542372881,8.547008547,-0.618139652,-1.324600792,-1.191561137,-1.011304242,-4.145605823,-4.780849,-3.422611334,-4.432057696,-3.633347271
S01000427,Grampian,Aberdeenshire,743,741,2,4,8,3,0,0,0.00014031,2.564102564,3.496503497,9.176788124,13.06122449,-0.254252143,-0.861355118,-0.799376216,-0.568879253,-2.48386273,-3.085467972,-1.844962816,-3.01517377,-1.824294292
S01000428,Grampian,Aberdeenshire,666,663,3,4,8,3,0,0,0.000125769,1.206636501,6.363636364,5.279034691,9.287925697,-0.753079313,-0.38218802,-1.029786895,-0.938689137,-3.103743366,-3.709525962,-2.410899888,-3.641414445,-2.403673027
S01000429,Grampian,Aberdeenshire,871,871,0,5,9,2,0,1,0.000164482,0.803673938,2.197802198,8.151549943,10.98265896,-0.901155704,-1.078399448,-0.859981852,-0.772593329,-3.612130333,-3.922637259,-3.339977249,-3.925423865,-3.081422262
S01000430,Grampian,Aberdeenshire,501,488,13,5,10,1,0,1,9.46E-05,0,1.973684211,8.81147541,8.713692946,-1.196481242,-1.115854973,-0.820971207,-0.994967996,-4.128275417,-4.498501329,-3.762380719,-4.465500867,-3.482481904
S01000431,Grampian,Aberdeenshire,722,680,42,3,6,4,0,0,0.000136345,0.588235294,6.989247312,21.76470588,22.54160363,-0.980322802,-0.277633332,-0.055257654,0.360264742,-0.952949046,-2.242174049,0.210587254,-1.596504582,-0.246076012
S01000432,Grampian,Aberdeenshire,881,876,5,5,10,2,0,1,0.000166371,0.684931507,0.81300813,7.305936073,10.59907834,-0.944789908,-1.309831958,-0.909969228,-0.810186934,-3.974778027,-4.512702513,-3.548939903,-4.202783942,-3.510194176
S01000433,Grampian,Aberdeenshire,510,510,0,3,6,4,0,0,9.63E-05,2.549019608,2.898550725,18.03921569,23.38709677,-0.259794667,-0.961287457,-0.275485213,0.443129031,-1.053438307,-2.408091474,0.200965046,-1.798109223,-0.261165975
S01000434,Grampian,Aberdeenshire,602,602,0,3,6,4,0,0,0.000113684,0.996677741,8.536585366,16.44518272,20.41522491,-0.830232722,-0.019035799,-0.369714421,0.151864636,-1.067118307,-2.053254723,-0.146309061,-1.857576308,-0.203111632
S01000435,Grampian,Aberdeenshire,514,514,0,4,8,3,0,0,9.71E-05,0.972762646,1.840490798,9.727626459,21.8503937,-0.839020786,-1.138114806,-0.766814116,0.292521296,-2.451428414,-3.736157352,-1.014212151,-2.96127057,-1.74963081
S01000436,Grampian,Aberdeenshire,629,629,0,5,10,1,0,1,0.000118782,1.112877583,2.830188679,2.861685215,5.128205128,-0.787532842,-0.972712405,-1.172685399,-1.34637108,-4.279301726,-4.814406139,-3.727798935,-4.675905552,-3.640149751
S01000437,Grampian,Aberdeenshire,947,889,58,4,8,3,0,0,0.000178834,2.137232846,3.412969283,9.898762655,13.09794989,-0.41111368,-0.875315701,-0.75669762,-0.565279905,-2.608406907,-3.078779874,-2.134802127,-3.087807535,-1.979850408
S01000438,Grampian,Aberdeenshire,594,590,4,5,10,1,0,1,0.000112173,0.338983051,0.523560209,1.016949153,4.745762712,-1.071915361,-1.358205691,-1.281734598,-1.383853133,-5.095708783,-5.374845376,-4.756086331,-5.246262442,-4.667735594
S01000439,Grampian,Aberdeenshire,823,823,0,5,10,2,0,1,0.000155418,2.187120292,1.838235294,1.822600243,7.616707617,-0.392781573,-1.138491755,-1.23410957,-1.102480292,-3.867863191,-4.584075628,-2.92164609,-4.220886794,-3.292064955
S01000440,Grampian,Aberdeenshire,1091,1091,0,5,10,2,0,1,0.000206028,1.191567369,2.240896359,3.116406966,9.683426443,-0.758616757,-1.071197374,-1.15762785,-0.899927276,-3.887369257,-4.283371934,-3.469976754,-4.189187411,-3.405675267
S01000441,Grampian,Aberdeenshire,900,898,2,4,7,3,0,0,0.000169959,2.338530067,3.623188406,7.126948775,19.66292135,-0.337143122,-0.840183012,-0.920549832,0.078133583,-2.019742382,-3.069861972,-0.992008565,-2.522672683,-1.382849694
S01000442,Grampian,Aberdeenshire,843,843,0,5,9,2,0,1,0.000159195,1.779359431,2.867383513,2.372479241,10.18404908,-0.542621191,-0.96649625,-1.201604181,-0.850862728,-3.56158435,-4.137795666,-2.929694521,-3.955402701,-2.982166412
S01000443,Grampian,Aberdeenshire,608,608,0,5,10,1,0,1,0.000114817,0.986842105,1.877934272,1.315789474,9.333333333,-0.833847017,-1.131857098,-1.264069037,-0.934238869,-4.164012021,-4.602021897,-3.716493153,-4.484173351,-3.558070835
S01000444,Grampian,Aberdeenshire,2534,2528,6,5,10,1,0,1,0.000478528,0.988924051,1.517067004,1.700949367,5.627009646,-0.833081965,-1.192166728,-1.241300805,-1.297484721,-4.564034219,-4.961338575,-4.049460569,-4.698560331,-4.254314022
S01000445,Grampian,Aberdeenshire,1201,1201,0,5,9,2,0,0,0.0002268,1.498751041,1.566579634,7.410491257,12.63689975,-0.645736173,-1.183891972,-0.903788583,-0.610466069,-3.343882798,-4.008331734,-2.767400806,-3.620600166,-2.884550195
S01000446,Grampian,Aberdeenshire,951,951,0,5,10,2,0,1,0.00017959,0.630914826,2.409638554,3.364879075,9.820485744,-0.964639382,-1.04299648,-1.142939741,-0.886494498,-4.037070102,-4.281213008,-3.808149182,-4.301841164,-3.555261513
S01000447,Grampian,Aberdeenshire,782,782,0,4,7,3,0,0,0.000147675,3.58056266,2.136752137,5.242966752,15.28497409,0.119265786,-1.088602387,-1.031919005,-0.350936114,-2.352191719,-3.674186276,-0.996467245,-2.842504772,-1.7100886
S01000448,Grampian,Aberdeenshire,859,859,0,5,10,2,0,1,0.000162216,1.862630966,1.748251748,0.814901048,10.24734982,-0.512021454,-1.153530178,-1.293678412,-0.844658809,-3.803888853,-4.580851165,-2.994981547,-4.13832431,-3.24551754
S01000449,Grampian,Aberdeenshire,740,708,32,4,7,3,0,0,0.000139744,3.107344633,4.433497537,14.5480226,12.66568483,-0.054627334,-0.7047608,-0.481862601,-0.607644928,-1.848895663,-2.407158085,-1.161598149,-2.485364616,-1.071985162
S01000450,Grampian,Aberdeenshire,553,553,0,5,9,2,0,1,0.00010443,0.904159132,4.568527919,3.797468354,9.426987061,-0.864230475,-0.682193965,-1.117367783,-0.925060143,-3.588852366,-3.97932572,-3.187571967,-4.10261173,-2.942875374
S01000451,Grampian,Aberdeenshire,855,855,0,4,8,3,0,0,0.000161461,3.157894737,2.127659574,5.029239766,12.62019231,-0.03605172,-1.090121973,-1.044553201,-0.612103516,-2.78283041,-3.85460658,-1.651713615,-3.231780702,-2.180066862
S01000452,Grampian,Aberdeenshire,573,559,14,5,10,2,0,1,0.000108207,1.073345259,2.857142857,2.146690519,9.694793537,-0.802059759,-0.968207711,-1.214951391,-0.898813221,-3.884032082,-4.279366915,-3.514405258,-4.331557632,-3.24843406
S01000453,Grampian,Aberdeenshire,584,560,24,5,10,1,0,1,0.000110284,1.071428571,1.507537688,0.535714286,8.455882353,-0.802764083,-1.193759307,-1.310182178,-1.020235251,-4.326940819,-4.814392907,-3.815972645,-4.657000786,-3.768554808
S01000454,Grampian,Aberdeenshire,443,443,0,3,6,4,0,0,8.37E-05,3.386004515,2.631578947,15.1241535,22.12189616,0.047771631,-1.005904884,-0.447805364,0.319130451,-1.086808166,-2.469409886,0.166111375,-1.850475856,-0.245715984
S01000455,Grampian,Aberdeenshire,846,846,0,4,8,3,0,0,0.000159761,1.063829787,5.743243243,5.791962175,15.90628853,-0.805556403,-0.485870683,-0.999465847,-0.290042919,-2.580935852,-3.292585606,-1.937065097,-3.063331347,-1.939190585
S01000456,Grampian,Aberdeenshire,1132,1129,3,4,8,3,0,0,0.00021377,1.771479185,3.428571429,5.668733392,12.62398557,-0.54551694,-0.872708206,-1.006750358,-0.61173175,-3.036707253,-3.543392944,-2.53857324,-3.432089433,-2.507389533
S01000457,Grampian,Aberdeenshire,819,781,38,4,7,3,0,0,0.000154662,1.152368758,6.735751295,13.8284251,18.52331606,-0.773021045,-0.319998634,-0.524400681,-0.03355577,-1.650976131,-2.334404859,-0.965732339,-2.301918976,-0.923163291
S01000458,Grampian,Aberdeenshire,930,930,0,5,9,2,0,0,0.000175624,2.688172043,3.492063492,1.290322581,9.663409338,-0.208660413,-0.86209715,-1.265574479,-0.901889093,-3.238221135,-4.102690996,-2.200327811,-3.679528703,-2.642020136
S01000459,Grampian,Aberdeenshire,1013,1011,2,3,6,4,0,0,0.000191298,1.879327399,6.315789474,18.39762611,21.8529708,-0.505886027,-0.39018439,-0.254298242,0.29277387,-0.85759479,-1.578073196,-0.038618721,-1.455372685,-0.140833458
S01000460,Grampian,Aberdeenshire,707,707,0,1,2,6,0,0,0.000133512,7.355021216,12.4260355,29.84441301,30.40123457,1.506263614,0.630985187,0.422363837,1.130563987,3.690176624,2.59587017,4.831460817,2.495945963,4.820992101
S01000461,Grampian,Aberdeenshire,865,857,8,2,4,4,0,0,0.000163349,2.100350058,8.474576271,29.40490082,26.05459057,-0.424666975,-0.029399016,0.396382639,0.70456223,0.646878879,-0.478998372,1.71009219,-0.067358164,1.370912205
S01000462,Grampian,Aberdeenshire,1034,991,43,3,6,4,0,0,0.000195264,4.23814329,2.58302583,15.6407669,22.71784232,0.360906512,-1.014019282,-0.417266428,0.377537376,-0.692841821,-2.320456967,0.772773993,-1.298870755,-0.023949469
S01000463,Grampian,Aberdeenshire,733,731,2,3,5,4,0,0,0.000138422,5.60875513,4.166666667,13.13269494,23.69186047,0.864564352,-0.749354678,-0.565527874,0.472998022,0.022679822,-1.819675107,1.790757875,-0.739383511,0.955871148
S01000464,Grampian,Aberdeenshire,848,848,0,4,8,3,0,0,0.000160139,4.363207547,4.01459854,1.886792453,10.10701546,0.406863793,-0.774768932,-1.23031493,-0.858412566,-2.456632635,-3.798304011,-0.72114058,-3.058070896,-1.788345096
S01000465,Grampian,Aberdeenshire,665,665,0,5,10,1,0,1,0.000125581,0,2.916666667,1.654135338,7.26172466,-1.196481242,-0.958259846,-1.244068156,-1.137271124,-4.536080369,-4.780882606,-4.252338721,-4.782547993,-3.985099978
S01000466,Grampian,Aberdeenshire,880,880,0,4,8,3,0,0,0.000166182,3.068181818,2.250803859,1.25,15.18987342,-0.069018468,-1.069541591,-1.267958097,-0.36025665,-2.766774806,-4.083656324,-1.445386694,-3.200351407,-2.131902036
S01000467,Grampian,Aberdeenshire,614,614,0,3,6,4,0,0,0.00011595,2.768729642,7.027027027,14.49511401,21.40468227,-0.179057964,-0.27131943,-0.484990224,0.248838433,-0.686529185,-1.318185449,0.019823257,-1.485686626,0.211767583
S01000468,Grampian,Aberdeenshire,535,535,0,5,10,2,0,1,0.000101031,0.934579439,0.561797753,2.429906542,13.23251418,-0.853051945,-1.351815274,-1.19820944,-0.552091656,-3.955168314,-4.77345483,-3.155812603,-4.28829966,-3.394909107
S01000469,Grampian,Aberdeenshire,641,641,0,4,8,3,0,0,0.000121048,2.496099844,4.62962963,5.616224649,10,-0.279241058,-0.671982394,-1.009854345,-0.868900835,-2.829978632,-3.468177433,-2.068248435,-3.417873256,-2.099792029
S01000470,Grampian,Aberdeenshire,1064,913,151,4,8,3,0,0,0.000200929,1.095290252,4,6.900328587,14.66372657,-0.793995647,-0.777208701,-0.933946192,-0.411822751,-2.916973291,-3.364705032,-2.407360373,-3.337502081,-2.322994248
S01000471,Grampian,Aberdeenshire,837,837,0,5,9,2,0,0,0.000158062,2.38948626,2.264150943,4.659498208,8.647990256,-0.318418283,-1.067310971,-1.066409997,-1.001407322,-3.453546574,-4.132689382,-2.546796741,-3.875296394,-2.880030671
S01000472,Grampian,Aberdeenshire,759,759,0,3,6,4,0,0,0.000143332,2.108036891,5.857740586,13.9657444,22.37196765,-0.421842299,-0.466735414,-0.516283227,0.34363922,-1.06122172,-1.821738077,-0.153378626,-1.65469309,-0.30544988
S01000473,Grampian,Aberdeenshire,661,661,0,2,4,4,0,0,0.000124825,3.328290469,8.415841584,18.75945537,29.17316693,0.026563489,-0.039214999,-0.232909171,1.0102047,0.764644018,-0.298057953,2.035104407,-0.095357569,1.631235545
S01000474,Grampian,Aberdeenshire,625,625,0,5,10,2,0,1,0.000118027,1.92,0.507614213,1.28,10.58631922,-0.490940093,-1.360870652,-1.266184685,-0.811437418,-3.929432848,-4.847712554,-2.982145576,-4.270649923,-3.354396903
S01000475,Grampian,Aberdeenshire,727,727,0,2,4,4,0,0,0.000137289,5.364511692,4.455445545,19.11966988,28.42998586,0.774812375,-0.701092758,-0.211615554,0.937367715,0.799471778,-1.071084391,2.558891273,-0.034536688,1.641786034
S01000476,Grampian,Aberdeenshire,627,627,0,5,10,2,0,1,0.000118405,0.4784689,2.380952381,5.422647528,11.65048544,-1.020658587,-1.047790632,-1.021297407,-0.707141626,-3.796888252,-4.107153659,-3.434698538,-4.158044565,-3.22938516
S01000477,Grampian,Aberdeenshire,674,674,0,4,7,3,0,0,0.00012728,0.890207715,6.12244898,12.31454006,21.87028658,-0.869357193,-0.422496253,-0.613892047,0.294470938,-1.611274555,-2.619502466,-0.463653563,-2.239525494,-0.862309677
S01000478,Grampian,Aberdeenshire,790,790,0,2,4,4,0,0,0.000149186,0.759493671,11.53846154,30.37974684,27.71084337,-0.917390598,0.482650157,0.454009408,0.866886681,0.886155648,-1.044564521,2.338867097,0.079899574,1.662441204
S01000479,Grampian,Aberdeenshire,847,843,4,3,5,4,0,0,0.00015995,2.491103203,10.82251082,20.6405694,21.48241206,-0.281077171,0.362997513,-0.121709536,0.256456501,0.216667307,-0.476499184,0.880984389,-0.553393171,1.025698066
S01000480,Grampian,Aberdeenshire,670,670,0,4,8,3,0,0,0.000126525,1.194029851,3.174603175,5.223880597,16.00609756,-0.757711871,-0.91515243,-1.033047258,-0.28026093,-2.986172489,-3.653169036,-2.215923378,-3.482883035,-2.331136046
S01000481,Grampian,Aberdeenshire,2138,2120,18,4,8,3,0,0,0.000403746,1.603773585,3.599374022,6.41509434,15.14423077,-0.607143608,-0.84416297,-0.962630191,-0.364729952,-2.77866672,-3.389108698,-2.198315821,-3.048329203,-2.375449313
S01000482,Grampian,Aberdeenshire,896,868,28,1,1,7,1,0,0.000169203,11.98156682,8.518518519,40.32258065,38.88888889,3.206377313,-0.022055206,1.041767235,1.96241395,6.188503294,3.061267223,9.29767982,5.099126718,7.156662697
S01000483,Grampian,Aberdeenshire,983,978,5,3,5,4,0,0,0.000185633,2.044989775,6.859205776,25.86912065,24.89451477,-0.445010182,-0.299366411,0.187369544,0.590866622,0.033859574,-1.058814169,1.103745896,-0.620362278,0.667787119
S01000484,Grampian,Aberdeenshire,805,770,35,2,4,5,0,0,0.000152019,4.285714286,9.090909091,28.05194805,24.04371585,0.378387395,0.073605073,0.316404577,0.50748233,1.275879375,0.838841257,1.651606585,0.392107504,2.069223197
S01000485,Grampian,Aberdeenshire,987,952,35,5,9,2,0,0,0.000186388,0.840336134,2.325581395,6.932773109,15.25423729,-0.887683471,-1.05704446,-0.932028276,-0.353948537,-3.230704744,-3.858156105,-2.534679906,-3.555062355,-2.712757327
S01000486,Grampian,Aberdeenshire,1132,1118,14,1,1,7,1,0,0.00021377,8.139534884,13.37047354,43.64937388,41.09589041,1.79454834,0.788823576,1.238426337,2.178715659,6.000513913,4.529122673,7.341653002,5.000081602,6.706772037
S01000487,Grampian,Aberdeenshire,621,559,62,3,6,3,0,0,0.000117272,1.788908766,4.402515723,19.32021467,18.37837838,-0.539112103,-0.709938609,-0.199760607,-0.047760684,-1.496572003,-2.230648277,-0.81328112,-2.22896582,-0.666751327
S01000488,Grampian,Aberdeenshire,624,624,0,2,4,4,0,0,0.000117838,3.846153846,7.333333333,20.51282051,28.73754153,0.216862406,-0.220128254,-0.129261247,0.967510339,0.834983245,-0.289520381,2.069007138,-0.064521859,1.800974912
S01000489,Grampian,Aberdeenshire,937,904,33,1,2,5,0,0,0.000176946,5.64159292,7.37704918,33.62831858,37.24792408,0.876631234,-0.212822281,0.646044546,1.80158783,3.111441329,1.151979277,4.92890969,2.252384362,3.950427346
S01000490,Grampian,Aberdeenshire,540,540,0,4,7,3,0,0,0.000101975,1.111111111,5.472636816,6.481481481,18.24953445,-0.788181966,-0.531095548,-0.9587058,-0.060388298,-2.338371612,-3.160576879,-1.477933028,-2.960418101,-1.614550851
S01000491,Grampian,Aberdeenshire,539,535,4,1,1,6,1,0,0.000101786,7.85046729,12.23021583,44.48598131,36.78861789,1.68832486,0.598258994,1.287881308,1.756572585,5.331037747,4.053393673,6.431487345,4.017367659,6.608597006
S01000492,Grampian,Aberdeenshire,951,951,0,2,3,5,0,0,0.00017959,8.307045216,6.569343066,27.33964248,23.31887202,1.856103253,-0.347809465,0.27429755,0.436442524,2.219033862,0.347466264,4.38401918,1.372230439,3.010171987
S01000493,Grampian,Aberdeenshire,641,641,0,4,7,3,0,0,0.000121048,3.120124805,5.82010582,8.424336973,15.62998405,-0.049931012,-0.473025091,-0.843856398,-0.317122706,-1.683935207,-2.443883812,-0.939777716,-2.44984586,-0.8797853
S01000494,Grampian,Aberdeenshire,551,551,0,1,2,6,0,0,0.000104053,7.80399274,9.74025974,32.30490018,31.96261682,1.671246887,0.182127238,0.56781237,1.283590455,3.704776951,2.12563239,5.258898647,2.470351759,4.894181395
S01000495,Grampian,Aberdeenshire,903,893,10,4,7,3,0,0,0.000170525,3.359462486,2.189781022,6.942889138,17.83295711,0.038018249,-1.07973998,-0.93143028,-0.101215814,-2.074367825,-3.426460448,-0.820689199,-2.571574764,-1.43771197
S01000496,Grampian,Aberdeenshire,529,529,0,5,9,2,0,1,9.99E-05,1.701323251,3.680981595,2.268431002,9.885931559,-0.571297095,-0.830524375,-1.207754859,-0.880080347,-3.489656676,-4.052929681,-2.906421936,-4.041817562,-2.760121411
S01000497,Grampian,Aberdeenshire,768,768,0,3,6,3,0,0,0.000145031,4.6875,2.991452991,5.989583333,17.74193548,0.52603133,-0.945761246,-0.987783726,-0.110136576,-1.517650219,-3.16704409,0.171844379,-2.136640582,-0.764810535
S01000498,Grampian,Aberdeenshire,520,520,0,4,8,3,0,0,9.82E-05,0.961538462,3.759398496,9.423076923,13.39805825,-0.84314533,-0.817419019,-0.78481717,-0.53586717,-2.981248689,-3.257308642,-2.657834485,-3.513138198,-2.197353793
S01000499,Grampian,Aberdeenshire,1020,1020,0,4,7,3,0,0,0.00019262,3.039215686,2.181818182,7.254901961,17.5,-0.079662634,-1.081070763,-0.912986044,-0.133847958,-2.207567398,-3.451425998,-1.01181651,-2.662559699,-1.601730545
S01000500,Grampian,Aberdeenshire,604,604,0,2,3,5,0,0,0.000114061,7.284768212,13.29113924,14.40397351,25.97864769,1.480447788,0.7755649,-0.490377877,0.697119292,2.462754103,0.712557496,4.210302658,1.204603539,3.600696399
S01000501,Grampian,Aberdeenshire,577,576,1,3,6,3,0,0,0.000108962,1.215277778,5.517241379,17.88194444,19.67799642,-0.749903909,-0.523641049,-0.284782101,0.079611046,-1.478716012,-2.256845049,-0.646511917,-2.196697545,-0.657501181
S01000502,Grampian,Aberdeenshire,638,614,24,4,8,3,0,0,0.000120482,4.071661238,2.358490566,2.117263844,11.33671743,0.299729461,-1.051544544,-1.216690911,-0.737893103,-2.706399096,-4.071117345,-1.024484394,-3.338321226,-1.952354941
S01000503,Grampian,Aberdeenshire,494,494,0,5,10,2,0,1,9.33E-05,1.214574899,2.597402597,0.607287449,9.53346856,-0.750162195,-1.011616577,-1.305951222,-0.914624206,-3.982354201,-4.509029562,-3.473475949,-4.476368212,-3.277986142
S01000504,Grampian,Aberdeenshire,770,768,2,3,6,3,0,0,0.000145409,1.822916667,3.211009174,19.66145833,20.19230769,-0.526615242,-0.909068109,-0.179588427,0.130017177,-1.485254601,-2.570029348,-0.501723564,-1.993375036,-0.806484491
S01000505,Grampian,Aberdeenshire,727,722,5,4,8,3,0,0,0.000137289,1.523545706,3.043478261,3.878116343,15.78192253,-0.636624894,-0.937066568,-1.112600381,-0.302231663,-2.988523506,-3.801892807,-2.207207313,-3.461372194,-2.321484597
S01000506,Grampian,Aberdeenshire,1024,996,28,5,10,2,0,1,0.000193375,0.702811245,3.529411765,2.008032129,9.746192893,-0.938219652,-0.855855352,-1.223148003,-0.893775721,-3.910998728,-4.277200947,-3.598002395,-4.241643367,-3.395765302
S01000507,Grampian,Aberdeenshire,995,986,9,3,5,4,0,0,0.000187899,3.448275862,4.982206406,18.15415822,28.01678909,0.070654443,-0.613058306,-0.268690533,0.896871519,0.085777122,-1.326054833,1.541968835,-0.515349712,0.734174556
S01000508,Grampian,Aberdeenshire,889,879,10,4,8,3,0,0,0.000167881,1.592718999,3.4375,3.299203641,14.13551402,-0.611205829,-0.871216026,-1.14682206,-0.463591305,-3.092835221,-3.780652441,-2.455782973,-3.505299454,-2.515336208
S01000509,Grampian,Aberdeenshire,1045,1001,44,3,6,3,0,0,0.000197341,0.999000999,3.787878788,12.18781219,26.37474542,-0.829378996,-0.812659275,-0.621383402,0.735939662,-1.527482011,-2.973347068,0.166019833,-1.973930579,-0.922414149
S01000510,Grampian,Aberdeenshire,665,665,0,3,6,4,0,0,0.000125581,2.706766917,4.060913706,16.39097744,19.59247649,-0.201827366,-0.76702855,-0.372918697,0.07122949,-1.270545123,-2.119030815,-0.527952792,-1.943966473,-0.470206568
S01000511,Grampian,Aberdeenshire,573,573,0,4,8,3,0,0,0.000108207,2.617801047,2.298850575,3.664921466,17.90780142,-0.234519597,-1.061511825,-1.125203122,-0.093880544,-2.515115088,-3.780328864,-1.268672146,-3.051431785,-1.752213408
S01000512,Grampian,Aberdeenshire,990,990,0,4,7,3,0,0,0.000186955,3.333333333,2.692307692,7.272727273,18.79468846,0.028416587,-0.995755645,-0.911932323,-0.006959361,-1.886230744,-3.211609227,-0.57466359,-2.402713933,-1.286383693
S01000513,Grampian,Aberdeenshire,881,881,0,3,6,4,0,0,0.000166371,2.043132804,5.533596838,9.761634506,27.69409038,-0.445692562,-0.520907657,-0.764803775,0.86524477,-0.866159223,-2.263418149,0.807258604,-1.438606863,-0.188402086
S01000514,Grampian,Aberdeenshire,941,941,0,4,8,3,0,0,0.000177701,1.806588735,2.166064982,4.994686504,16.99346405,-0.532615257,-1.083703503,-1.046595772,-0.183492053,-2.846406584,-3.82607822,-1.875522841,-3.245206234,-2.256709123
S01000515,Grampian,Aberdeenshire,551,551,0,5,10,2,0,1,0.000104053,1.08892922,1.204819277,1.270417423,12.54612546,-0.796333131,-1.244350859,-1.266751147,-0.619362589,-3.926797727,-4.685807053,-3.197962421,-4.291005001,-3.335035742
S01000516,Grampian,Aberdeenshire,883,883,0,4,8,3,0,0,0.000166748,2.944507361,2.120141343,4.756511891,13.17296678,-0.11446504,-1.091378451,-1.060675158,-0.557927721,-2.82444637,-3.87656438,-1.744467738,-3.257486054,-2.202175537
