Datazone,Health Board,Council Area,Total population,People in households,People in communal establishments,Quintile,Decile,DEPCAT,Most deprived 15%,Least deprived 15%,Total population weight,% Overcrowding,% Male Unemployment,% No Car,% Low Social Class,Z-score overcrowding,Z-score male unemployment,Z-score no car,Z-score low social class,Carstairs score,Lower 95% uncertainty bound (random weights),Upper 95% uncertainty bound (random weights),Lower 95% confidence interval,Upper 95% confidence interval 
S01000174,Grampian,Aberdeen City,900,900,0,5,10,1,0,1,0.000169959,1.333333333,2.631578947,1.555555556,4.06779661,-0.706522111,-1.005904884,-1.249895573,-1.450298591,-4.41262116,-5.106997667,-3.678673504,-4.731016482,-3.881063423
S01000175,Grampian,Aberdeen City,536,536,0,2,4,5,0,0,0.00010122,5.223880597,5.612244898,39.17910448,21.28146453,0.723134758,-0.507763668,0.974172113,0.236762226,1.426305429,0.005421525,2.760189269,0.521395884,2.360129729
S01000176,Grampian,Aberdeen City,762,582,180,3,6,4,0,0,0.000143898,1.718213058,3.686635945,38.48797251,14.17322835,-0.565090609,-0.829579397,0.933316736,-0.459895035,-0.921248305,-2.4391231,0.892457423,-1.522205737,-0.117436155
S01000177,Grampian,Aberdeen City,559,559,0,3,6,4,0,0,0.000105563,3.041144902,2.127659574,23.61359571,16.37168142,-0.078953706,-1.090121973,0.054037089,-0.244431134,-1.359469724,-2.566841294,-0.3836597,-1.980118742,-0.592899168
S01000178,Grampian,Aberdeen City,774,774,0,2,3,5,0,0,0.000146165,9.043927649,4.761904762,24.67700258,31.09017497,2.126884961,-0.649876027,0.116899018,1.198085003,2.791992955,-0.021646742,5.624512183,1.867323311,3.716340441
S01000179,Grampian,Aberdeen City,877,877,0,1,1,6,1,0,0.000165615,6.61345496,11.91489362,51.31128848,34.10852713,1.233760744,0.545561042,1.69135056,1.493904795,4.964577142,3.771106992,5.994828262,3.94209129,5.876689258
S01000180,Grampian,Aberdeen City,663,645,18,2,4,5,0,0,0.000125203,6.821705426,7.182320442,20.15503876,23.05246423,1.310286408,-0.245366152,-0.150411055,0.410332683,1.324841883,-0.22067165,2.989421237,0.359610213,2.309813529
S01000181,Grampian,Aberdeen City,606,606,0,2,4,5,0,0,0.000114439,4.785478548,5.813953488,31.35313531,25.34965035,0.562035443,-0.474053295,0.511550015,0.635473118,1.235005281,-0.08245734,2.229035253,0.332081755,2.234773303
S01000182,Grampian,Aberdeen City,916,916,0,2,3,5,0,0,0.00017298,6.331877729,5.882352941,23.36244541,27.22095672,1.130289743,-0.462622095,0.039190662,0.818874336,1.525732646,-0.166408941,3.149096835,0.747118453,2.362468791
S01000183,Grampian,Aberdeen City,1362,1127,235,1,1,6,1,0,0.000257204,11.97870453,6.4,47.64862467,26.05459057,3.20532551,-0.376110779,1.474836901,0.70456223,5.008613862,1.858639393,8.600178092,4.132347784,5.727244937
S01000184,Grampian,Aberdeen City,742,737,5,4,7,3,0,0,0.000140122,2.713704206,3.301886792,17.91044776,10.59190031,-0.199278125,-0.893880266,-0.283097164,-0.810890432,-2.187145987,-2.982894718,-1.403702717,-2.784532653,-1.513912645
S01000185,Grampian,Aberdeen City,887,878,9,1,2,6,1,0,0.000167504,4.783599089,15.07352941,52.27790433,29.17251052,0.561344799,1.073445314,1.748490812,1.010140367,4.393421293,3.308106929,5.433708137,3.40814809,5.249494221
S01000186,Grampian,Aberdeen City,950,948,2,3,6,4,0,0,0.000179401,2.53164557,4.329004329,27.74261603,19.06354515,-0.266179094,-0.722224137,0.298118813,0.01939049,-0.670893928,-1.668474848,0.264447376,-1.283435463,-0.002486773
